                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0431,                0.81568,                 1.3575,                0.95942,                0.94372,                0.96548,                0.69956,                  0.965,                0.53834,                 1.0541,               0.009406,               0.009406,               0.009406
                     12,                 1.0397,                0.81194,                 1.3579,                0.96338,                0.94088,                0.97107,                0.71022,                0.92796,                0.52189,                 1.0445,                0.00934,                0.00934,                0.00934
                     13,                 1.0317,                0.79627,                 1.3502,                0.95848,                0.94315,                0.96289,                 0.7098,                0.91885,                0.52727,                 1.0508,               0.009274,               0.009274,               0.009274
                     14,                 1.0209,                0.79248,                  1.341,                0.96853,                0.94489,                0.97044,                0.72272,                0.87522,                0.51352,                 1.0221,               0.009208,               0.009208,               0.009208
                     15,                 1.0187,                0.77824,                  1.342,                0.96689,                0.93121,                0.96343,                0.71436,                0.87548,                0.49951,                 1.0368,               0.009142,               0.009142,               0.009142
                     16,                0.99865,                0.76269,                 1.3255,                0.96532,                 0.9494,                 0.9708,                0.72349,                0.88933,                 0.5072,                 1.0272,               0.009076,               0.009076,               0.009076
                     17,                0.99911,                0.76455,                 1.3201,                0.96585,                0.94372,                0.97727,                0.73336,                0.87455,                0.47562,                 1.0126,                0.00901,                0.00901,                0.00901
                     18,                0.99164,                 0.7536,                 1.3217,                0.97607,                0.95055,                0.97563,                0.73107,                0.87605,                0.46725,                 1.0266,               0.008944,               0.008944,               0.008944
                     19,                0.98578,                 0.7462,                 1.3177,                   0.96,                  0.955,                0.97148,                0.73984,                0.86064,                0.46874,                 1.0171,               0.008878,               0.008878,               0.008878
                     20,                0.98114,                0.73917,                 1.3126,                0.97116,                0.94883,                0.97132,                0.74183,                0.85714,                0.44989,                 1.0106,               0.008812,               0.008812,               0.008812
                     21,                0.96604,                0.73074,                 1.3026,                0.96649,                0.96191,                 0.9791,                 0.7399,                0.85224,                0.44817,                 1.0076,               0.008746,               0.008746,               0.008746
                     22,                0.96767,                 0.7349,                 1.3045,                0.96282,                0.95964,                0.97842,                0.74113,                0.84159,                0.44474,                 1.0051,                0.00868,                0.00868,                0.00868
                     23,                 0.9595,                0.72284,                 1.2939,                0.96398,                0.94713,                0.96753,                0.73668,                0.84391,                0.45045,                 1.0113,               0.008614,               0.008614,               0.008614
                     24,                0.95477,                0.71527,                 1.2934,                  0.962,                0.94827,                0.96919,                0.73987,                 0.8233,                0.43749,                 1.0085,               0.008548,               0.008548,               0.008548
                     25,                0.94674,                0.71415,                 1.2844,                0.97438,                0.95122,                0.97593,                0.74266,                0.82168,                0.43014,                 1.0003,               0.008482,               0.008482,               0.008482
                     26,                0.93803,                0.70388,                 1.2811,                0.97016,                0.95566,                0.97453,                0.73878,                0.85498,                0.43011,                 1.0001,               0.008416,               0.008416,               0.008416
                     27,                0.94966,                0.72176,                 1.2863,                0.97575,                0.95225,                0.98032,                0.73043,                0.87366,                0.42497,                 1.0184,                0.00835,                0.00835,                0.00835
                     28,                0.92849,                0.69692,                 1.2796,                0.96428,                0.95907,                0.97194,                0.73709,                0.85548,                0.43328,                 1.0119,               0.008284,               0.008284,               0.008284
                     29,                0.93088,                0.70023,                 1.2756,                0.96942,                0.95503,                0.97635,                 0.7537,                0.82099,                0.41282,                0.99588,               0.008218,               0.008218,               0.008218
                     30,                0.92412,                0.69464,                 1.2681,                 0.9693,                 0.9602,                0.97441,                0.74746,                0.82374,                0.41222,                  1.001,               0.008152,               0.008152,               0.008152
                     31,                0.91665,                0.68539,                  1.266,                0.96524,                0.96299,                0.97295,                0.75359,                 0.8213,                0.41088,                0.99981,               0.008086,               0.008086,               0.008086
                     32,                0.91459,                0.68702,                 1.2643,                0.96725,                 0.9569,                0.97462,                0.75187,                0.82201,                0.40812,                 1.0002,                0.00802,                0.00802,                0.00802
                     33,                0.91301,                 0.6833,                 1.2622,                0.97559,                0.95907,                0.98198,                0.75622,                0.81487,                0.39956,                0.99795,               0.007954,               0.007954,               0.007954
                     34,                0.90598,                0.67243,                 1.2582,                0.97155,                0.96191,                0.98092,                0.75066,                0.82231,                 0.3907,                0.99161,               0.007888,               0.007888,               0.007888
                     35,                0.90689,                0.67707,                 1.2541,                0.97632,                0.95225,                0.97872,                0.75083,                0.82333,                0.39328,                0.99948,               0.007822,               0.007822,               0.007822
                     36,                 0.9037,                0.67043,                 1.2547,                0.97798,                0.95953,                0.98012,                0.75826,                0.81465,                0.38217,                0.99317,               0.007756,               0.007756,               0.007756
                     37,                0.89388,                0.66683,                 1.2502,                0.98016,                0.95512,                0.97987,                0.75519,                0.82783,                0.38847,                0.99564,                0.00769,                0.00769,                0.00769
                     38,                0.89504,                0.67258,                 1.2492,                0.97724,                 0.9519,                0.97721,                0.75214,                0.82544,                0.39341,                 1.0031,               0.007624,               0.007624,               0.007624
                     39,                0.88721,                0.65813,                 1.2405,                0.98233,                0.95566,                0.97933,                0.75787,                0.80737,                0.37547,                0.98744,               0.007558,               0.007558,               0.007558
                     40,                0.88309,                0.66122,                 1.2377,                0.98192,                0.95688,                0.98136,                0.75971,                0.81445,                0.37943,                0.99018,               0.007492,               0.007492,               0.007492
                     41,                0.87841,                0.65529,                 1.2401,                0.98423,                0.95782,                0.98027,                0.75334,                0.82566,                0.38023,                  0.995,               0.007426,               0.007426,               0.007426
                     42,                0.88207,                0.65584,                 1.2351,                0.97858,                0.96111,                0.98139,                0.75699,                0.81264,                0.37753,                0.99167,                0.00736,                0.00736,                0.00736
                     43,                0.86266,                0.63971,                 1.2278,                 0.9757,                0.96248,                0.97749,                0.75647,                0.80928,                 0.3774,                0.98775,               0.007294,               0.007294,               0.007294
                     44,                 0.8664,                0.64391,                 1.2246,                0.97318,                0.96362,                0.97916,                0.75411,                0.80692,                0.37642,                0.98319,               0.007228,               0.007228,               0.007228
                     45,                0.86116,                0.63689,                 1.2233,                0.97651,                0.96248,                0.97965,                0.75728,                0.79935,                0.36739,                0.98378,               0.007162,               0.007162,               0.007162
                     46,                0.86007,                 0.6413,                 1.2211,                0.97584,                0.96431,                0.98068,                0.75419,                0.80933,                0.37305,                0.98796,               0.007096,               0.007096,               0.007096
                     47,                0.85288,                0.63228,                 1.2186,                0.98143,                0.96158,                0.98036,                0.75743,                0.80062,                0.37071,                0.98354,                0.00703,                0.00703,                0.00703
                     48,                0.85043,                0.62942,                 1.2136,                0.97756,                 0.9676,                0.98146,                0.75915,                0.80499,                0.36119,                0.98413,               0.006964,               0.006964,               0.006964
                     49,                0.84849,                0.62892,                 1.2153,                0.98482,                0.95736,                0.97935,                0.75599,                0.81105,                0.36581,                0.98323,               0.006898,               0.006898,               0.006898
                     50,                0.84313,                0.62553,                   1.21,                0.98428,                0.95964,                0.98225,                0.75876,                0.80457,                0.36239,                0.98094,               0.006832,               0.006832,               0.006832
                     51,                0.84415,                0.61836,                 1.2112,                0.97965,                0.95804,                0.98093,                0.76374,                0.79885,                0.36207,                0.98188,               0.006766,               0.006766,               0.006766
                     52,                0.83966,                0.62801,                 1.2078,                0.98146,                0.95452,                0.98104,                0.76172,                 0.8018,                0.35933,                0.98396,                 0.0067,                 0.0067,                 0.0067
                     53,                0.83245,                0.61862,                 1.2026,                0.97628,                0.96589,                0.98151,                0.75868,                0.80421,                0.36029,                0.98375,               0.006634,               0.006634,               0.006634
                     54,                0.82602,                0.61393,                 1.1971,                0.97706,                0.96846,                 0.9801,                 0.7581,                0.79809,                0.35792,                0.98286,               0.006568,               0.006568,               0.006568
                     55,                0.82309,                0.61024,                 1.1964,                0.98273,                 0.9585,                0.97858,                0.75707,                 0.8003,                0.35803,                0.98495,               0.006502,               0.006502,               0.006502
                     56,                0.82682,                0.60721,                 1.1993,                0.97211,                0.97082,                 0.9797,                0.75495,                0.80999,                0.35951,                0.99097,               0.006436,               0.006436,               0.006436
                     57,                0.81452,                 0.6049,                 1.1936,                0.97801,                  0.961,                0.98052,                0.75609,                0.80413,                0.35674,                0.99052,                0.00637,                0.00637,                0.00637
                     58,                0.81713,                0.60151,                 1.1933,                0.97637,                0.96319,                0.98084,                0.75736,                0.80143,                0.35537,                0.98765,               0.006304,               0.006304,               0.006304
                     59,                0.81782,                0.60569,                 1.1925,                0.98308,                0.95812,                0.97846,                0.75552,                0.80837,                0.35906,                0.98697,               0.006238,               0.006238,               0.006238
                     60,                0.81109,                 0.5976,                 1.1876,                0.98197,                0.95984,                0.98087,                0.75371,                0.81406,                0.36065,                0.99003,               0.006172,               0.006172,               0.006172
                     61,                0.80541,                0.59298,                  1.186,                0.98568,                0.95793,                0.98147,                0.75588,                0.81477,                0.35903,                0.99202,               0.006106,               0.006106,               0.006106
                     62,                  0.802,                0.59113,                  1.181,                0.98088,                0.95736,                0.98052,                0.75577,                0.81175,                 0.3604,                 0.9911,                0.00604,                0.00604,                0.00604
                     63,                0.80151,                0.58491,                 1.1793,                0.98422,                0.95751,                0.98035,                0.75717,                0.80615,                 0.3567,                0.98937,               0.005974,               0.005974,               0.005974
                     64,                0.79769,                0.57969,                 1.1774,                0.98545,                0.95566,                 0.9809,                0.75661,                0.80016,                0.35321,                0.98626,               0.005908,               0.005908,               0.005908
                     65,                0.79625,                0.58556,                 1.1797,                0.98395,                 0.9585,                0.98189,                0.75735,                0.80181,                0.35252,                0.98588,               0.005842,               0.005842,               0.005842
                     66,                0.79386,                0.58238,                 1.1748,                0.98187,                0.96077,                0.98143,                0.75777,                0.80047,                0.35303,                0.98651,               0.005776,               0.005776,               0.005776
                     67,                0.79406,                0.58137,                 1.1709,                0.97521,                0.96589,                0.98139,                0.75873,                 0.8031,                0.35297,                0.98828,                0.00571,                0.00571,                0.00571
                     68,                0.78231,                0.58015,                  1.166,                 0.9742,                0.96646,                0.98125,                0.75788,                0.80854,                0.35437,                0.99187,               0.005644,               0.005644,               0.005644
                     69,                  0.776,                0.57091,                 1.1637,                0.97364,                0.96594,                0.98128,                0.75804,                0.80657,                0.35435,                0.98907,               0.005578,               0.005578,               0.005578
                     70,                0.77689,                0.56832,                 1.1657,                0.97808,                0.96389,                 0.9818,                 0.7578,                0.80669,                0.35232,                0.99044,               0.005512,               0.005512,               0.005512
                     71,                0.76893,                0.56256,                 1.1578,                0.97916,                0.96138,                0.98172,                0.75746,                0.80696,                0.35054,                0.98945,               0.005446,               0.005446,               0.005446
                     72,                 0.7666,                0.56535,                  1.158,                0.98276,                0.96077,                0.98211,                0.75769,                 0.8042,                 0.3488,                0.98888,                0.00538,                0.00538,                0.00538
                     73,                0.76598,                0.55803,                 1.1577,                0.98312,                0.96047,                0.98165,                0.76036,                 0.8021,                0.34714,                0.98796,               0.005314,               0.005314,               0.005314
                     74,                0.76414,                0.55466,                 1.1498,                0.98187,                0.96134,                0.98172,                0.76039,                0.80099,                0.34643,                0.98714,               0.005248,               0.005248,               0.005248
                     75,                0.76119,                0.56224,                 1.1565,                0.98211,                 0.9602,                0.98179,                0.76217,                 0.7989,                0.34557,                0.98608,               0.005182,               0.005182,               0.005182
                     76,                0.75846,                0.55068,                  1.154,                0.98199,                 0.9602,                0.98177,                0.76234,                0.79846,                0.34587,                0.98594,               0.005116,               0.005116,               0.005116
                     77,                0.75996,                0.55065,                  1.151,                0.98237,                 0.9602,                0.98169,                 0.7607,                0.79885,                0.34599,                0.98696,                0.00505,                0.00505,                0.00505
                     78,                 0.7468,                0.54414,                   1.15,                0.98712,                0.95891,                0.98129,                0.76086,                0.79911,                0.34788,                0.98757,               0.004984,               0.004984,               0.004984
                     79,                0.74509,                0.53827,                 1.1448,                0.98648,                 0.9585,                0.98107,                0.76087,                0.79942,                0.34792,                0.98807,               0.004918,               0.004918,               0.004918
                     80,                0.74008,                 0.5344,                 1.1391,                0.98646,                0.95907,                0.98124,                0.76045,                0.79969,                0.34558,                0.98879,               0.004852,               0.004852,               0.004852
                     81,                0.74486,                0.54212,                 1.1442,                0.98624,                 0.9585,                0.98118,                0.75803,                0.79792,                0.34503,                0.98819,               0.004786,               0.004786,               0.004786
                     82,                0.74631,                0.53778,                 1.1423,                 0.9814,                   0.96,                0.98119,                0.75807,                 0.7987,                0.34495,                0.98837,                0.00472,                0.00472,                0.00472
                     83,                0.74167,                 0.5347,                 1.1384,                0.98029,                0.96135,                0.98121,                0.75979,                0.79881,                0.34459,                0.98841,               0.004654,               0.004654,               0.004654
                     84,                0.73803,                0.53064,                 1.1376,                0.97916,                 0.9616,                0.98119,                0.75965,                0.79883,                0.34402,                 0.9884,               0.004588,               0.004588,               0.004588
                     85,                0.73473,                0.52956,                 1.1349,                0.97904,                0.96418,                0.98116,                0.75837,                0.80071,                0.34383,                0.98908,               0.004522,               0.004522,               0.004522
                     86,                0.72838,                 0.5265,                 1.1317,                0.97828,                0.96362,                0.98109,                0.75699,                0.80116,                0.34373,                0.98905,               0.004456,               0.004456,               0.004456
                     87,                0.72588,                0.52296,                 1.1319,                0.97809,                 0.9642,                0.98107,                0.75674,                0.80217,                 0.3434,                 0.9897,                0.00439,                0.00439,                0.00439
                     88,                0.71536,                0.51454,                 1.1266,                0.97734,                0.96418,                0.98101,                0.75644,                0.80236,                0.34371,                0.98977,               0.004324,               0.004324,               0.004324
                     89,                0.71916,                0.51624,                 1.1281,                 0.9781,                0.96469,                0.98113,                0.75597,                0.80196,                0.34396,                0.98997,               0.004258,               0.004258,               0.004258
                     90,                0.71833,                0.51344,                 1.1242,                0.97755,                0.96551,                 0.9812,                0.75655,                0.80184,                0.34332,                0.98986,               0.004192,               0.004192,               0.004192
                     91,                0.71669,                0.51357,                 1.1222,                0.97697,                0.96469,                0.98139,                0.75671,                0.80138,                0.34315,                0.98958,               0.004126,               0.004126,               0.004126
                     92,                0.71473,                0.51275,                 1.1175,                0.97643,                0.96545,                0.98136,                0.75664,                0.80076,                0.34296,                0.98958,                0.00406,                0.00406,                0.00406
                     93,                0.70866,                0.50504,                 1.1169,                0.97681,                0.96589,                0.98136,                0.75643,                0.80032,                0.34245,                0.98938,               0.003994,               0.003994,               0.003994
                     94,                0.70447,                0.50231,                 1.1161,                0.97644,                0.96599,                0.98145,                0.75683,                0.80021,                0.34259,                0.98933,               0.003928,               0.003928,               0.003928
                     95,                0.70595,                0.50693,                 1.1139,                0.97644,                0.96602,                0.98157,                0.75716,                 0.7997,                0.34275,                0.98921,               0.003862,               0.003862,               0.003862
                     96,                 0.6975,                0.50141,                 1.1111,                0.97644,                0.96598,                 0.9816,                0.75745,                0.79993,                0.34288,                0.98939,               0.003796,               0.003796,               0.003796
                     97,                0.70125,                0.50068,                 1.1144,                0.97697,                0.96471,                 0.9816,                0.75622,                 0.7998,                0.34145,                0.98925,                0.00373,                0.00373,                0.00373
                     98,                0.68827,                0.48688,                 1.1066,                0.97657,                0.96532,                0.98165,                0.75682,                0.79972,                0.34113,                0.98907,               0.003664,               0.003664,               0.003664
                     99,                0.69174,                0.49121,                 1.1096,                0.97732,                0.96532,                0.98159,                0.75621,                0.79971,                0.34122,                0.98906,               0.003598,               0.003598,               0.003598
                    100,                0.68567,                0.48972,                 1.1044,                0.97752,                0.96415,                0.98149,                0.75569,                0.79963,                 0.3406,                0.98912,               0.003532,               0.003532,               0.003532
                    101,                0.68141,                0.48105,                 1.1011,                0.97751,                0.96377,                0.98144,                 0.7571,                0.79957,                 0.3405,                 0.9891,               0.003466,               0.003466,               0.003466
