                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1431,                 1.6919,                 1.4461,                0.94422,                 0.9239,                 0.9558,                0.68113,                0.99393,                 1.0821,                 1.0251,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.1446,                 1.1087,                 1.4243,                0.95418,                0.91156,                0.95383,                0.67973,                0.99435,                0.76274,                  1.041,              0.0066182,              0.0066182,              0.0066182
                      3,                 1.1864,                 1.0362,                 1.4628,                0.89306,                0.85453,                0.90841,                0.59537,                 1.1098,                0.89004,                 1.1443,              0.0098635,              0.0098635,              0.0098635
                      4,                 1.2125,                 1.0335,                 1.4888,                0.95256,                0.89045,                0.94735,                0.62268,                 1.1745,                0.71788,                 1.1562,               0.009802,               0.009802,               0.009802
                      5,                 1.1614,                0.96127,                 1.4511,                0.94665,                0.89782,                0.94394,                 0.6796,                 1.0082,                0.70689,                 1.1068,               0.009802,               0.009802,               0.009802
                      6,                 1.1379,                0.91165,                 1.4322,                0.93612,                0.93007,                0.96283,                0.69226,                0.98835,                0.65284,                 1.0748,               0.009736,               0.009736,               0.009736
                      7,                 1.1123,                0.88634,                 1.4129,                 0.9645,                0.92669,                0.96798,                0.71506,                0.90417,                0.56642,                  1.051,                0.00967,                0.00967,                0.00967
                      8,                 1.0936,                0.86461,                 1.3993,                 0.9478,                0.90846,                0.95663,                0.68954,                0.93791,                0.61093,                 1.0556,               0.009604,               0.009604,               0.009604
                      9,                 1.0805,                0.85043,                 1.3926,                0.95482,                0.91315,                0.95498,                0.68627,                0.96153,                0.57512,                 1.0734,               0.009538,               0.009538,               0.009538
                     10,                 1.0614,                0.83029,                 1.3762,                0.96225,                0.94202,                0.96875,                0.69663,                0.97275,                0.58097,                 1.0575,               0.009472,               0.009472,               0.009472
